onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_orig	duration_orig	trial_type_orig
138.905757039	2	0.336102160999872	8	BALOON	b	ACCEPT	0	0.25	1.75	0.25	138.9058	2	accept
140.930413509	2	0.646314089000043	8	BALOON	b	ACCEPT	0	0.25	2	0.25	140.9304	2	accept
142.623098052	2	1.20205804500029	8	BALOON	b	ACCEPT	0	0.25	2.25	0.25	142.6231	2	accept
145.643638876	2	0.509343474999696	8	BALOON	y	CASHOUT	0	0	2.25	0.25	145.6436	2	reject
151.485283195	2	0.372696106999683	9	BALOON	b	ACCEPT	1	0.25	0.75	0.25	151.4853	2	accept
153.344069273	2	0.345694283999819	9	BALOON	b	ACCEPT	1	0.25	1	0.25	153.3441	2	accept
155.252572497	2	0.365050059000168	9	BALOON	b	ACCEPT	1	0.25	1.25	0.25	155.2526	2	accept
156.679839839	2	0.386024370000086	9	BALOON	b	ACCEPT	1	0.25	1.5	0.25	156.6798	2	accept
158.289584036	2	0.327482477000103	9	BALOON	b	ACCEPT	1	0.25	1.75	0.25	158.2896	2	accept
160.198039005	2	0.36254543799987	9	BALOON	b	ACCEPT	1	0.25	2	0.25	160.198	2	accept
162.37225387	2	3.30206757800033	9	BALOON	b	ACCEPT	1	0.25	2.25	0.25	162.3723	2	accept
166.836461487	2	0	9	BALOON	n/a	EXPLODE	1	0	2.25	0.25	166.8365	2	explode
169.923134616	2	0.373868689000119	10	BALOON	b	ACCEPT	0	0.25	0.75	0.25	169.9231	2	accept
171.931478268	2	0.229427871000098	10	BALOON	b	ACCEPT	0	0.25	1	0.25	171.9315	2	accept
174.155178538	2	0.262903895999898	10	BALOON	b	ACCEPT	0	0.25	1.25	0.25	174.1552	2	accept
175.582338715	2	0.306662062000214	10	BALOON	b	ACCEPT	0	0.25	1.5	0.25	175.5823	2	accept
177.773099767	2	0.419778128999951	10	BALOON	b	ACCEPT	0	0.25	1.75	0.25	177.7731	2	accept
